iter	Logloss
0	0.6480390273
1	0.6104038509
2	0.5731581151
3	0.5396466744
4	0.5020314875
5	0.4706723826
6	0.4422660945
7	0.4218333757
8	0.40109214
9	0.3814559151
10	0.3614073018
11	0.3396963832
12	0.324359045
13	0.3113915448
14	0.2969118176
15	0.2867904225
16	0.2779874849
17	0.2663727647
18	0.2566912397
19	0.2489756008
20	0.2416777405
21	0.2368731218
22	0.2282771296
23	0.2227177998
24	0.2189582169
25	0.2128883914
26	0.2073105911
27	0.2028618578
28	0.1983414851
29	0.1949693097
30	0.1917608377
31	0.1894692482
32	0.1880404452
33	0.18478118
34	0.181732547
35	0.179839579
36	0.1771025939
37	0.1752097381
38	0.1732304483
39	0.1717151177
40	0.169566652
41	0.1683646838
42	0.1663758812
43	0.1649220518
44	0.1635596678
45	0.1623093253
46	0.1602412337
47	0.1592950635
48	0.158424776
49	0.1573958208
50	0.1561930351
51	0.1550039411
52	0.1538330264
53	0.1527318727
54	0.1516419213
55	0.1508415162
56	0.1500413001
57	0.1494172808
58	0.14879539
59	0.1479652615
60	0.1475502622
61	0.1469755805
62	0.1461180048
63	0.1455001995
64	0.1447552954
65	0.1440939919
66	0.1437307788
67	0.1431209299
68	0.1428359524
69	0.1423140846
70	0.1418198494
71	0.1411815793
72	0.1408132016
73	0.1402905255
74	0.1400242279
75	0.1396008623
76	0.1385978426
77	0.1379592039
78	0.1373793457
79	0.1368017677
80	0.1365239975
81	0.1357973488
82	0.1354095784
83	0.1349454822
84	0.1346187882
85	0.1342116674
86	0.1339105249
87	0.1334045963
88	0.1329047829
89	0.1325701161
90	0.1323294429
91	0.1318353622
92	0.1314967057
93	0.1312510088
94	0.1310302312
95	0.1307782087
96	0.1304550716
97	0.130155987
98	0.1299580341
99	0.1296322629
100	0.1292006443
101	0.1288827313
102	0.128508573
103	0.1281556296
104	0.1278752493
105	0.1275793252
106	0.1274128952
107	0.1272492183
108	0.1267970868
109	0.1265547425
110	0.126323046
111	0.1260739997
112	0.1257926275
113	0.1255617189
114	0.1253988519
115	0.1252347922
116	0.1249037365
117	0.1247132529
118	0.1244945998
119	0.1242424988
120	0.1239782961
121	0.123839091
122	0.123673027
123	0.1234815376
124	0.1231135188
125	0.1228364
126	0.1226404392
127	0.1224086067
128	0.1222093404
129	0.1218194796
130	0.1215112401
131	0.1213548753
132	0.1210441213
133	0.1208368654
134	0.1206936147
135	0.1204001912
136	0.1202554951
137	0.1200606733
138	0.1198616476
139	0.1195893961
140	0.1193636394
141	0.1192555215
142	0.1190330544
143	0.118724609
144	0.1184970979
145	0.1183246166
146	0.1182234329
147	0.1179775477
148	0.1178842504
149	0.1177460081
150	0.117417009
151	0.117231932
152	0.1168697747
153	0.116639091
154	0.1164388811
155	0.1162826169
156	0.1161527389
157	0.115943953
158	0.1157695278
159	0.1155853292
160	0.1154068016
161	0.1153180478
162	0.1151565173
163	0.1149942032
164	0.114748679
165	0.1146370916
166	0.1144839261
167	0.11429906
168	0.1140837901
169	0.1139319878
170	0.1137939911
171	0.1135362887
172	0.1133121203
173	0.1131490518
174	0.1130409018
175	0.1128548342
176	0.1126761473
177	0.1125291883
178	0.1123937952
179	0.1122572029
180	0.1121176604
181	0.1119517729
182	0.1118639309
183	0.1116557166
184	0.1114675779
185	0.1113655973
186	0.1112606577
187	0.111161223
188	0.1110600179
189	0.110999267
190	0.110792478
191	0.1106154421
192	0.1104701757
193	0.110343997
194	0.1100779203
195	0.1099352536
196	0.1098928073
197	0.1098241536
198	0.1098166389
199	0.1096323312
200	0.1095935645
201	0.1094421643
202	0.1093604786
203	0.1092080502
204	0.1089548175
205	0.1088429679
206	0.1086682405
