iter	Passed	Remaining
0	3	3238
1	6	3434
2	9	3210
3	12	2999
4	14	2944
5	17	2878
6	20	2957
7	23	2948
8	26	2880
9	28	2829
10	31	2812
11	33	2783
12	36	2772
13	38	2742
14	41	2722
15	43	2704
16	46	2695
17	49	2695
18	51	2680
19	54	2660
20	56	2645
21	59	2627
22	61	2608
23	64	2614
24	66	2607
25	70	2633
26	73	2650
27	76	2646
28	79	2664
29	82	2668
30	85	2663
31	88	2662
32	90	2652
33	93	2665
34	97	2675
35	99	2670
36	102	2674
37	105	2670
38	107	2660
39	110	2662
40	113	2664
41	117	2669
42	119	2659
43	122	2651
44	124	2644
45	127	2645
46	130	2639
47	132	2629
48	135	2620
49	137	2611
50	140	2608
51	143	2607
52	145	2606
53	148	2599
54	151	2594
55	153	2590
56	156	2589
57	159	2589
58	161	2581
59	164	2576
60	167	2577
61	170	2582
62	173	2580
63	176	2581
64	179	2579
65	181	2574
66	184	2575
67	187	2570
68	190	2569
69	193	2566
70	195	2563
71	198	2564
72	202	2565
73	204	2560
74	207	2559
75	210	2564
76	214	2565
77	217	2565
78	219	2557
79	221	2551
80	224	2550
81	227	2544
82	229	2537
83	232	2540
84	235	2535
85	238	2532
86	240	2528
87	243	2521
88	245	2516
89	248	2510
90	250	2506
91	253	2499
92	256	2496
93	258	2491
94	262	2502
95	266	2506
96	269	2510
97	273	2518
98	276	2517
99	279	2516
100	282	2512
101	285	2509
102	288	2511
103	291	2512
104	294	2513
105	298	2514
106	300	2511
107	303	2508
108	306	2506
109	309	2507
110	312	2503
111	314	2497
112	317	2490
113	321	2496
114	323	2492
115	326	2486
116	328	2481
117	331	2474
118	333	2469
119	337	2473
120	340	2471
121	343	2468
122	346	2467
123	348	2463
124	351	2462
125	354	2457
126	357	2456
127	360	2454
128	363	2451
129	366	2450
130	369	2449
131	371	2445
132	374	2442
133	377	2437
134	380	2436
135	384	2440
136	387	2438
137	390	2439
138	393	2437
139	396	2434
140	399	2431
141	401	2428
142	404	2427
143	407	2422
144	410	2419
145	412	2414
146	415	2411
147	418	2406
148	420	2402
149	423	2397
150	425	2394
151	428	2389
152	431	2389
153	434	2385
154	436	2380
155	439	2377
156	441	2372
157	444	2368
158	447	2365
159	449	2361
160	453	2361
161	455	2358
162	458	2354
163	461	2350
164	464	2350
165	467	2347
166	470	2344
167	472	2341
168	475	2338
169	478	2337
170	481	2336
171	484	2334
172	487	2331
173	490	2327
174	492	2322
175	496	2322
176	499	2321
177	501	2317
178	504	2312
179	506	2308
180	509	2303
181	512	2303
182	515	2299
